timestamp,site_id,site_name,url,status_code,response_time_ms,is_up,error_message,check_type,screenshot_path
2026-05-25T00:38:47.420820,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,3.6,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338B640>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:38:47.499081,httpbin_404,Httpbin (404 Down Test),https://httpbin.org/status/404,-1,3.94,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/404 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B3388B50>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:38:47.598187,github,GitHub,https://github.com,-1,179.36,False,Browser engine failure: ,browser,
2026-05-25T00:38:52.625888,google,Google,https://www.google.com,-1,2.97,False,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D8759E620>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:38:52.717855,httpbin_ok,Httpbin (OK Test),https://httpbin.org/status/200,-1,3.21,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/200 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D87592620>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:38:52.819730,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,3.97,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D87590040>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:38:52.882315,httpbin_404,Httpbin (404 Down Test),https://httpbin.org/status/404,-1,2.89,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/404 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D875928C0>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:38:52.982496,github,GitHub,https://github.com,-1,186.07,False,Browser engine failure: ,browser,
2026-05-25T00:43:47.623713,google,Google,https://www.google.com,-1,4.57,False,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338A950>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:47.718979,httpbin_ok,Httpbin (OK Test),https://httpbin.org/status/200,-1,2.95,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/200 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B3389690>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:47.795298,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,2.59,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338B760>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:47.873110,httpbin_404,Httpbin (404 Down Test),https://httpbin.org/status/404,-1,2.53,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/404 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338A8C0>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:47.960602,github,GitHub,https://github.com,-1,168.75,False,Browser engine failure: ,browser,
2026-05-25T00:43:53.028808,google,Google,https://www.google.com,-1,3.05,False,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D8759FA90>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:53.121542,httpbin_ok,Httpbin (OK Test),https://httpbin.org/status/200,-1,2.98,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/200 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D87590C10>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:53.195460,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,3.16,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D87590070>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:53.279371,httpbin_404,Httpbin (404 Down Test),https://httpbin.org/status/404,-1,2.95,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/404 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D875E4610>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:43:53.378782,github,GitHub,https://github.com,-1,175.96,False,Browser engine failure: ,browser,
